Date,Description,Debit,Credit
15/01/2025,Monthly Salary,,50000
16/01/2025,Zomato Food Order,850,
17/01/2025,Uber Ride to Office,320,
18/01/2025,Amazon Shopping - Electronics,1250,
19/01/2025,Electricity Bill Payment,2100,
20/01/2025,Flipkart Order Return Refund,,450
21/01/2025,Swiggy Dinner Order,680,
22/01/2025,Petrol - HP Pump,1500,
23/01/2025,Netflix Monthly Subscription,799,
24/01/2025,Apollo Pharmacy Medicine,520,
25/01/2025,Ola Cab to Airport,890,
26/01/2025,Myntra Fashion Shopping,2340,
27/01/2025,Broadband Bill - Airtel,999,
28/01/2025,Grocery - Big Bazaar,3200,
29/01/2025,Movie Ticket - PVR,600,
30/01/2025,Freelance Project Payment,,15000
31/01/2025,Rent Payment,18000,
01/02/2025,Mobile Recharge,299,
02/02/2025,Dominos Pizza,890,
03/02/2025,Cashback Reward,,150
